SAMPLE_ID,Answer
TEST_017,이재민 의사상자 국가유공자 입양아동 국가무형문화재보유자 북한이탈주민등
TEST_018,국민건강보험법 제5조 제6조 제8조부터 제11조까지 제69조제1항부터 제3항까지 제76조부터 제86조까지 및 제110조는 장기요양보험가입자·피부양자의 자격취득·상실 장기요양보험료 등의 납부·징수 및 결손처분 등에 관하여 이를 준용한다.
TEST_019,노인장기요양보험법은 2007년 4월에 제정되고 공포되었습니다.
TEST_020,장기요양인정점수 완화는 2012년 7월에 이루어졌으며 3등급 인정점수는 55∼75점에서 53점∼75점으로 완화되었습니다.
TEST_021,장기요양기관 지정갱신제의 법적 근거는 2025년에 시행됩니다.
TEST_022,요양보호사 1명당 시설수급자 2.5명에서 2.3명으로 개선되었다.
TEST_023,에너지 바우처 제도의 주요 내용은 경제적 부담 등으로 에너지 이용에 어려움을 겪는 에너지 소외 계층에게 전기·가스·지역난방 등 에너지 이용에 필요한 비용을 지원하는 제도입니다.
TEST_024,에너지바우처 사업의 주요 수혜자는 노인 장애인 영유아 임산부 중증·희귀·중증난치질환자 한부모 소년소녀가정 포함 세대 연탄을 사용하는 기초생활수급자 차상위계층 기타 소외계층 등유를 사용하는 생계·의료급여(중위소득 40%이하) 수급세대 중 한부모·소년소녀가정세대입니다.
TEST_025,에너지바우처 사업의 사업시행주체는 한국에너지공단 한국광해광업공단입니다.
TEST_026,하절기바우처의 2024년 예산은 60950백만원이며 동절기바우처의 2024년 예산은 600521백만원입니다.
TEST_027,448백만원
TEST_028,705백만원
TEST_029,280백만원
TEST_030,131.7백만원
TEST_031,34.6백만원
TEST_032,50백만원
TEST_033,저소득층의 적정수준 에너지 접근성이 높아지고 취약계층의 에너지 비용 부담이 약 115만 세대 세대당 평균 36.7만원 내외로 감소할 것으로 기대됩니다.
TEST_034,에너지바우처 사업에 대한 예비타당성조사를 KDI(한국개발연구원 공공투자관리센터)가 수행했습니다.
TEST_035,저소득층의 폭염 피해 최소화를 위해 동절기 에너지바우처 일부를 하절기에 사용할 수 있도록 제도 개선할 것
TEST_036,2021년 에너지바우처사업의 성과는 에너지바우처 지원세대수는 77.7만 세대 에너지바우처 수급자 만족도는 82.9점으로 목표 달성률은 95.1%로 나타났습니다.
TEST_037,취약계층의 에너지 비용 부담 완화를 위해 지속적 지원단가 현실화 추진
TEST_038,행복주택출자 사업은 주택도시기금법 제9조제1항가목과 공공주택특별법 제2조1호가목에 근거하여 추진되고 있다.
TEST_039,행복주택출자 사업은 국민의 행복주거 실현을 위한 보편적 주거복지 정책의 일환으로 도심 내 다양한 부지를 활용하여 행복주택을 공급하는 목적으로 시행된다.
TEST_040,행복주택출자 사업의 주요 수혜자는 대학생 사회초년생 신혼부부 등 젊은층(80%)과 고령자 및 주거취약계층(20%)입니다.
TEST_041,행복주택출자 사업의 사업비는 2020년 1267123백만원 2021년 1105291백만원 2022년 775293백만원 2023년 684607백만원 2024년 528783백만원으로 추이하고 있습니다.
TEST_042,한국토지주택공사(LH) 지자체(지방공사)
TEST_043,국고보조사업의 보조율은 「보조금법」과 함께 일부 개별 법령에 근거하여 운영되며 보조금법에 의해 지방자치단체의 재정여건을 고려하여 기준보조율과 차등보조율을 적용하여 운용하고 있음
TEST_044,중앙정부의 재정적자로 인한 수평적 형평교부금의 역할을 강조하기 시작함
TEST_045,지방재정조정제도의 목적은 지방자치단체 간 재정력 격차의 시정 지역 간 외부 효과의 내부화를 통한 지방공공재 공급 중앙정부의 위임사무에 대한 비용 부담 등을 목적으로 재정을 조정하는 일련의 조치를 의미합니다.
TEST_046,금융위기로 성과중심 재정관리 강화 움직임이 국제적으로 확산됨에 따라 2007년 기준 70% 이상의 OECD 국가에서 예결산 문서에 비재무적 성과정보를 포함하고 있다.
TEST_047,성과관리 기본계획과 추진계획은 2021년 12월에 개정된 「국가재정법」에 따라 의무화되었다.
TEST_048,핵심재정사업 성과관리제도를 안착시키기 위해 필요한 노력과 성과 정보를 학습의 도구로 활용하는 방안은 다음과 같습니다.  1.  공동 리더 및 하위 목표 리더를 명확히 지정해 밝힘으로써 리더십 연속성 부처 동의를 촉진 2.  참여시킴으로써 그들의 노력과 자원이 가장 높은 우선순위에 집중되게끔 유도 3.  리더십의 참여로 부처 간 신뢰 증가 및 목표 팀의 역할 책임 및 의사 결정 프로세스를 명확히 하고 동의를 이룸으로써 협업을 촉진 4.  CAP 목표 리더십에 변화가 있는 경우 하위 목표 또는 전략 수준에서 리더십과 연속성을 제공함으로써 CAP 목표를 성공적으로 구현하는 데 도움 5.  자금 인력 및 기술을 포함해 목표 실현을 위한 자원 투자를 위해 유용한 관행의 교환을 촉진하고 범부처 영역에 대한 구현 계획 및 조정을 강화 및 수행하기 위한 팁과 도구를 개발 6.  목표 팀 간 모범사례 등의 공유를 위한 교훈 저장소 생성(예를 들어 목표 팀이 목표를 설정 계획 및 실행하는 데 도움이 되는 일련의 전략이 포함된 목표 플레이북을 발행) 7.  성과정보를 사용해 목표 진행 상황을 정기적으로 평가하고 지속적 개선에 대한 약속 공유 8.  데이터 품질 및 사용 개선에 집중하여 조직 프로세스를 지속적으로 개선하고 성과 격차를 식별하며 개선 목표를 설정(성과지표와 목표치 정보는 기초적인 정보로서의 역할을 할 수 있음)
TEST_049,사회보험 사각지대 발생의 주요 원인은 사업주의 비용절감 보험 가입에 따른 근로자의 실질 가처분 소득 감소 사회보험 가입이 법적 의무이기 때문에 가입이 저조한 경우 등으로 인해 발생합니다.
TEST_050,청년일자리도약장려금은 우선지원대상기업에서 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 고용유지하는 경우 최장 2년간 지원합니다.
TEST_051,수직적 재정조정제도는 중앙정부와 지방자치단체 간에 재정을 재배분하는 것을 목적으로 함으로써 지방자치단체 간 재정력 격차의 시정 지역 간 외부 효과의 내부화를 통한 지방공공재 공급 중앙정부의 위임사무에 대한 비용 부담 등을 목적으로 재정을 조정하는 일련의 조치를 의미합니다. 반면 수평적 재정조정제도는 동일 수준의 지방정부 간 재정불균형을 해소하기 위해 재정력이 강한 지방자치단체가 재정력이 약한 지방자치단체에 지원하는 상호 간의 재원(지역상생발전기금 재산공동과세)을 재배분하는 방식을 의미합니다.
TEST_052,지방재정조정제도는 자체 재원만으로 지출책임성을 충족하지 못하는 지방자치단체에 필요한 일종의 제도적 장치에 해당하고 지방정부의 부족한 재원을 보충하여 중앙-지방 간 수직적 불균형 완화 또는 재정력 격차 완화를 통해 국가 재정의 재배분 목적을 충족하여 지방자치단체의 기본적인 수요에 대한 지출을 촉진하는 중요한 기능을 수행합니다.
TEST_053,지방교부세와 국고보조금을 통해 수직적 재정 불균형을 해소한다.
TEST_054,중앙정부의 예산편성은 결국 민간과 공공 부문 사이의 재원 배분 문제이며 중앙과 지방 사이의 재원 배분 문제이다. 중앙정부가 지방자치단체에 얼마의 재원을 어떤 기준에 의해 배분할 것인가에 대한 답은 지방재정조정으로 지방교부세와 국고보조금 위주의 정부 간 재정관계를 구현하는 우리나라의 경우 실질적인 균형발전을 이루기 위해 재정조정제도의 중심축인 이전재원의 역할에 대한 이해가 중요하다.
TEST_055,재정사업 성과관리제도의 필요성이 대두된 시기는 1990년대 이후로 미국 캐나다 영국 등 주요국 위주로 재정사업 성과관리의 실효성 제고를 위한 제도 도입 등 노력이 시작되었습니다.
TEST_056,청년일자리도약장려금은 우선지원대상기업에서 만 15~34세의 취업애로청년을 정규직으로 채용 후 6개월 고용유지하는 경우 최장 2년간 지원합니다.
TEST_057,재정성과관리제도는 전략목표와 우선순위를 중심으로 재정사업을 재구조화한다는 점에서 국정운영과 연결되고 지출 우선순위 측면에서 재정을 중장기 시계로 확장시켜 줌
TEST_058,성과관리의 실효성 강화를 위해 정부는 성과관리의 내용을 성과목표관리 및 성과평가로 구체화하고 재정사업 성과관리 기본계획 수립 성과보고서 작성 및 성과평가 근거 마련 성과사업 성과목표 관리를 위한 추진체계 마련 성과평가 결과 등을 저장 활용할 수 있는 성과정보관리시스템 구축·운영 성과목표 관리 결과를 국무회의에 보고하여 성과 중심 재정운용 확대 및 강화하는 등의 조치를 취하고 있다.
TEST_059,재정성과관리 관련 주요 쟁점은 「국가재정법」상의 재정사업 평가인 재정사업 자율평가의 대상 범위 효과 개편 등이 지속적으로 논의되어야 하며 개별 법령에 따라 실시되는 평가 대상 간 중복 최소화 노력 필요하고 성과관리의 실효성을 제고하기 위한 재정사업 평가 개편 지원 인프라 체계 등에 대한 논의를 통해 성과관리의 실효성을 제고할 수 있다.
TEST_060,재정성과관리가 중요한 이유는 재정성과관리제도는 재정을 프로그램 단위로 구분하고 사전 목표와 사후 평가 결과를 중심으로 관리하는 것을 의미하기 때문입니다.
TEST_061,재정성과관리는 지출 효율성을 증진하기 위해 재정지출이 달성해야 할 목표를 정확히 설정하고 이의 달성도를 지속적으로 관리하는 활동입니다.
TEST_062,OECD World Bank 등은 2000년대부터 사업을 기준으로 예산을 나누어 성과 정보를 생산하고 있다.
TEST_063,성과관리의 목적은 정부 재정의 투명성·책임성 효율성·효과성 예산재분배 등이 있다.
TEST_064,2021년 「국가재정법」 개정으로 동 법에 의한 재정사업 평가와 개별 법령에 따라 실시되는 평가 대상 중복이 최소화되도록 하는 규정을 신설하여 재정성과관리를 위한 재정사업 평가와 개별 법령에 따라 실시되는 평가 간의 관계를 최초로 규정했습니다.
TEST_065,성과관리제도는 지출 구조조정을 위해 미흡 등급 배분 기준 지출구조조정 기준을 도입하여 강력한 지출구조조정 방향을 제시하고 있다.
TEST_066,재정사업 자율평가는 재정관리 합리성 제고를 위해 그동안 평가 대상 사업의 범위 평가 주기 상위 평가 방식 등에서 지속적인 제도 개선이 이루어짐.
TEST_067,2016년 재정성과관리제도의 환류 개선사항은 평가 대상 사업 전체 예산의 1% 이내에서 부처에서 자율적으로 세출구조조정을 마련하도록 하고 우수 등급 사업도 지출구조조정이 가능하게 하는 한편 구조조정이 어려운 사업에 대해서는 성과관리 개선대책을 제출하게 함으로써 환류를 수행하는 것으로 나타나고 있습니다.
TEST_068,2018년부터는 주요 핵심 사업에 대한 집중관리를 통한 제도 개선과 구조조정 방식으로 전환하여 성과관리의 실효성을 제고하고 부처 자율성 강화 재정당국의 성과관리 전략성 강화에 기여하였다.
TEST_069,성과관리 사각지대 해소 사업성과평가의 예산편성 활용 확대를 위한 중점 추진과제를 제시하고 평가부담 완화를 위한 개선과 함께 지출구조조정을 강화하는 등 사업성과평가 개편 핵심사업평가를 위한 핵심 재정사업군을 선별하여 5년간 전주기 관리 사업별 성과정보 DB 구축 온라인 재정정보 공개의 사용자 친화성 개선 재정성과포럼 운영 등 성과관리 인프라를 확충하는 것들이 제시되었다.
TEST_070,재정성과관리제도의 중요성과 국정운영과의 연결성은 성과를 중심으로 재정사업을 재구조화하고 지출 우선순위 측면에서 재정을 중장기 시계로 확장시켜 주며 성과목표와 우선순위를 중심으로 재정사업을 재구조화하여 국정운영과 연결되며 성과관리를 강화하기 위한 재정사업 평가 개편 지원 인프라 체계 등에 대한 논의를 통해 성과관리의 실효성을 제고할 수 있다.
TEST_071,정부는 110대 국정과제 중 재정 정상화 및 재정의 지속 가능성 확보를 위해 재정성과관리체계 강화를 제시했다. 재정성과관리는 단순 예산·결산 중심에서 벗어나 재정을 결과 또는 산출 지향적으로 운영하는 것으로 산출의 우선순위를 명확하게 하는 한편 국민에게 재정이 하는 일을 보다 알기 쉽게 설명할 수 있기에 중요하다.
TEST_072,재정성과관리는 예산의 편성에서 집행 결산에 이르는 전 과정에서 수행되며 성과계획서를 작성하면서 시작하여 연간 성과지표와 목표치를 관리하여 국회에 보고하고 국민에게 공개합니다.
TEST_073,성과관리의 목적은 정부 재정의 투명성·책임성 효율성·효과성 예산재분배 등이 있으며 우리나라에서는 2006년 4대 재정개혁을 통해 프로그램 예산제도로 전환되었습니다.
TEST_074,2007년 「국가재정법」 개정으로 성과관리의 기본 단위 성과 측정과 보고를 위한 체계를 확립하고 2021년 「국가재정법」 개정으로 성과지향적이고 투명한 재정운용을 위해 성과목표관리 및 성과평가로 구체화하고 재정사업 성과관리 기본계획 수립 성과보고서 작성 및 성과평가 근거 마련 성과목표 관리를 위한 추진체계 마련 성과평가 결과 등을 저장 활용할 수 있는 성과정보관리시스템 구축·운영 성과목표 관리 결과를 국무회의에 보고하여 성과 중심 재정운용 확대 및 강화하는 등의 목적으로 성과관리 제도가 강화되고 구체화되었습니다.
TEST_075,재정사업 자율평가는 재정관리 합리성 제고를 위해 평가 대상 사업의 범위 평가 주기 상위 평가 방식 등을 지속적으로 개선하고 있다.
TEST_076,2015년 이전에는 평가 결과 미흡 등급 비율을 강제 배정하고 해당 단위사업에 대한 일률적 삭감을 실시하였으나 2016년부터는 평가 결과 미흡 등급 비율을 부처에서 자율적으로 결정하고 우수 등급 사업도 지출구조조정을 할 수 있도록 하며 구조조정이 어려운 사업에 대해서는 성과관리 개선대책을 제출하게 함으로써 환류를 개선하였다.
TEST_077,재정관리시스템 구축과 성과관리 개편을 추진하는 주된 목적은 성과관리의 실효성을 제고하기 위한 제도 개선과 재정정보시스템 지원을 목적으로 이루어지고 있습니다.
TEST_078,우리는 2011년부터 발생주의 기준을 적용한 국가결산보고서에서 우발부채를 보고하고 있다.
TEST_079,우발부채 관련 주요 쟁점은 우발부채 개념 및 용어 사용의 혼란 우발부채 분류기준 재검토 새로운 분류기준 정립입니다.
TEST_080,우발부채의 관리는 재정건전성 재정위기 관리 등 다양한 관점에서 중요하게 다뤄져야 할 필요가 있다.
TEST_081,우발부채는 미래에 특정 사건(들)이 일어나지 않는 한 발생하지 않는 의무로 하나 또는 그 이상의 조건이 충족되어야 금융거래로 인식된다는 점에서 ‘부채’와 차이 있습니다.
TEST_082,발생주의는 '경제적 거래가 발생하는 시점'에 거래를 기록하는 방식으로 현금주의(cash basis)와 차이가 있다.
TEST_083,채무지속가능성분석은 잠재적 재정위기 감지 예방 해결을 위한 IMF의 노력으로 2002년에 도입되었다.
TEST_084,의제의무란 발표된 정부방침 또는 구체적이고 유효한 약속이나 과거의 실무관행 등을 통해 중앙관서 또는 기금이 특정 책임을 부담한다는 것을 표명함으로써 상대방이 그 책임을 이행할 것이라는 정당한 기대를 가지게 되는 경우 발생하는 의무를 말한다.
TEST_085,국제통화기금(IMF)은 재정통계 작성의 국제기준을 제시하기 위해 1986년 재정통계 매뉴얼(Government Finance Statistics Manual GFSM)을 처음 발간하였으며 이후 2001년과 2014년 총 2차례의 개정이 있었다.
TEST_086,계류중인 소송사건은 정부가 원고인 경우와 피고인 경우 각각을 주석으로 공시하며 다만 자원의 유출가능성이 매우 높은 경우(정부가 피고로 2심 패소 등)에는 소송충당부채로 공시합니다.
TEST_087,최소운영수입보장(BTO 등) 제도란 주로 BTO 민간투자사업 중 실시협약서 상 추정 수입보다 실제 수입이 미치지 못하는 경우 정부가 최소운영수입을 보장해 주는 제도를 말함
TEST_088,장기임차토지의 원상회복의무 공공금융비용 공공손실부담 등이 우발부채에 해당된다.
TEST_089,GFSM2014에서는 우발부채를 명시적 우발부채와 암묵적 우발부채로 구분한다.
TEST_090,GFSM은 1986년 첫 발간 이래 현재까지 총 2차례(2001년 2014년)의 개정이 있었다. GFSM 2001은 전면 개정을 통해 현재의 발생주의 기준 GFS체계를 구축하였으며 GFSM2014는 SNA PSDS 등 다른 국제통계기준과 부합하도록 더 구체화했다.
TEST_091,표준화 보증은 통상 아주 적은 금액에 대해 획일적 조건으로 대규모로 발행하는 보증을 말하며 수출(무역)신용 보증 환보증 다양한 종류의 보험(예금 농작물 자연재해 등) 농민융자 모기지론 학자금융자 중소기업융자 등이 있다.
TEST_092,공공부문의 우발부채는 표준화 보증에서 공공부문의 우발부채는 공적보증채무로 인식된다.
TEST_093,공적보증채무는 보증인이 기타 공공부문과 민간부문 단위 기존 채무의 원리금 상환을 보증한다는 점에서 다른 일회성 보증과는 구분되며 재정정책 및 분석에서 중요합니다.
TEST_094,미래사회보장급여에 대한 순의무는 계약상의 부채는 아니며 미래 발생 비용으로 여겨지는 사회보장급여를 의미합니다.
TEST_095,국가결산보고서와 지방자치단체 회계기준에서 '우발부채'의 정의 및 회계처리가 다릅니다. 국가결산보고서는 우발부채를 재무제표상 부채로 인식하지 않으며 주석에 공시합니다. 반면 지방자치단체 회계기준은 우발부채를 재무제표상 재정상태표에 인식하는 경우도 있습니다.
TEST_096,우발부채는 미래의 다양한 의제의무를 포함하고 있기 때문에 지속가능한 재정운영 차원에서 중요한 이슈입니다.
TEST_097,보증은 명시적 우발부채의 가장 보편적 형태이나 모든 보증이 우발부채에 해당하는 것은 아니다. 예를 들어 파생금융상품 형태의 보증이나 표준화된 보증 제도하에서 설정하는 충당부채 형태의 보증은 재정상태표에 부채로 기록된다. 표준화 보증은 통상 아주 적은 금액에 대해 획일적 조건으로 대규모로 발행되는 보증을 말하며 수출(무역)신용 보증 환보증 다양한 종류의 보험(예금 농작물 자연재해 등) 농민융자 모기지론 학자금융자 중소기업융자 등이 있다.
