SAMPLE_ID,Source,Source_path,Question,Answer
AUG_TRAIN35,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 민생경제 지원 예산 중 가장 높은 비율을 차지하는 분야의 특징은 무엇인가?,2022년에는 민생경제 지원을 위해 산업·중소기업 및 에너지(53.1%) 분야에 가장 많은 예산이 배분되었습니다.
AUG_TRAIN36,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,예산 승인 이후에 발생하는 비상 사태로 인한 예산 변경은 어떤 형태로 이루어질 수 있나요?,추가경정예산은 예산 성립 후 법률로 인정되는 사유로 인해 예산에 추가 또는 변경을 가한 예산을 의미합니다.
AUG_TRAIN37,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,국가재정법에서 추경 편성 사유로 명시된 사항은 국가재정법에서 정한 대로 국가가 지급해야 하는 지출이 증가하는 경우에 한하여 발생하는 사유를 확인하고 싶습니다.,"국가재정법에서 추경 편성 사유로 명시된 사항은 전쟁이나 대규모 재해가 발생한 경우, 경기침체, 대량 실업, 남북 관계의 변화, 경제협력과 같은 대내외 여건에 중대한 변화가 발생하였거나 발생할 우려가 있는 경우, 법령에 따라 국가가 지급하여야 하는 지출이 발생하거나 증가하는 경우에 한정되어 있습니다."
AUG_TRAIN38,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 예산에서 지방교부세의 비중은 전체 예산의 몇 퍼센트를 차지하며, 작년보다 얼마나 줄어든지 알 수 있는지 알고 싶습니다.",66.8조원이며 전년 대비 11.3% 감소했다.
AUG_TRAIN39,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,지방교부세가 재정 불균형 완화를 위한 역할을 하는 데 어떤 중요성과 효과가 있는지 설명해 본다면?,지방교부세는 지방자치단체 간 재원 보장과 재정 불균형 완화를 위해 자치단체에 교부하는 재원이다.
AUG_TRAIN40,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,지방교부세의 세부 항목은 지역에 따라 어떤 특징을 보일까?,"지방교부세는 보통교부세, 특별교부세, 부동산교부세, 소방안전교부세로 구성되어 있다."
AUG_TRAIN41,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 교육부의 예산 지원금이 지난해보다 얼마나 감소하였으며, 교육부 예산의 전체 비중은 어느 정도인지 알려주세요.",2024년 교육재정교부금은 73.0조원이며 전년 대비 8.9% 감소하였다.
AUG_TRAIN42,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 교육부의 고교 무상교육 예산 확보를 위한 정부 지원금 규모는 얼마였을까요?,"9,439억원입니다."
AUG_TRAIN43,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 교육부 예산에서 유아교육비 및 보육료 지원 비율은 몇 퍼센트에 불과합니까?,4.40%
AUG_TRAIN44,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,교육부의 예산 지원 방식에 대한 변화가 교육 재정 균형 발전에 미치는 영향은 무엇입니까?,"교육의 균형발전을 위해 교육기관 및 교육행정기관 경비를 국가가 교부하는 일반지원금으로, 일반회계 보통・특별교부금, 고교 무상교육 증액분, 특별회계 유아교육비・보육료 지원 교부금 등 4가지로 구성되었다."
AUG_TRAIN45,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 국고보조사업의 예산 확대는 경제 성장에 미치는 영향은 무엇인가?,국고보조사업 규모는 2024년에 89.3조원이며 전년 대비 7.4% 증가하였다.
AUG_TRAIN46,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,국가균형발전특별회계에서 지출되는 포괄보조금의 비율은 얼마인가?,특별회계 국고보조금 18.2조원 중 10.0조원이 국가균형발전특별회계에서 지출되는 포괄보조금이다.
AUG_TRAIN47,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 국고보조사업 자치단체 이전에 대한 지원금의 비중은 얼마나 되는지 설명해 주세요?,"90,247억원으로 10.1%를 차지하고 있다."
AUG_TRAIN48,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,전년 대비 사업비 증가율은 100%가 넘는 사업의 비율은 어느 정도 인가요?,"총사업비 관리대상사업의 규모는 305.0조원이며, 전년 대비 30.7조원 증가했습니다."
AUG_TRAIN49,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,사업 규모와 기간을 미리 정하여 관리하는 방식은 어떤 큰 규모의 프로젝트에 적용되는 관리 방식인지 설명해 주세요?,"총사업비 관리제도는 2년 이상이 소요되는 대규모 사업에 대해 사업 규모 및 사업 기간을 미리 정하여 관리하는 제도입니다. 건축・토목 사업은 1994년부터, 정보화 사업은 2010년부터, 연구개발(R&D)사업은 2015년부터 관리하고 있습니다."
AUG_TRAIN50,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,통합재정수지에서 관리재정수지와 사회보장성기금을 제외한 정부의 재정상태를 구성하는 요소는 무엇인가?,"관리재정수지는 통합재정수지에서 사회보장성기금 수지를 제외한 정부의 재정상태를 의미한다. 사회보장성기금에는 국민연금기금, 사립학교교직원연금기금, 고용보험기금, 산업재해보상보험 및 예방기금을 포함한다."
AUG_TRAIN51,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,주거비용 지원 정책과 산업단지의 청년 친화적 환경을 개선하기 위한 노력의 효과를 평가하는 데 있어 가장 중요한 요인은 무엇입니까?,"청년 월세 한시 특별지원을 1년 연장 지원하고, 청년 대상 공공분양 및 공공 임대 등 공공주택 공급을 대폭 확대하였습니다. 또한, 산리단길 프로젝트를 추진하여 기숙사형 오피스텔, 편의시설 등을 조성하는 산단환경개선펀드를 대폭 확대하고, 청년복합문화센터 및 아름다운거리를 조성하였습니다."
AUG_TRAIN52,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,고위험 임산부와 미숙아·선천성 이상아의 의료비 지원을 위한 정부 정책의 주요 내용은 무엇인가?,"임신·출산을 희망하는 가구에는 필수가임력(생식건강) 검진비와 냉동난자를 활용한 보조 생식술 비용을 신규로 지원하며, 고위험 임산부와 미숙아·선천성 이상아의 의료비는 소득수준에 관계없이 지원된다."
AUG_TRAIN53,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,소규모 농가와 고령 농업인의 삶의 안정에 영향을 미치는 정부의 농업 지원 정책 변경은 어떤 방향으로 진행되고 있는가?,"경작면적이 0.5ha 이하인 소규모 농가에게는 2023년 120만원에서 2024년 130만원으로 직불금이 인상된다. 고령농업인을 위해서는 소유 농지를 청년농 등에게 양도하고 은퇴하는 고령농에게는 ha당 월 50만원의 직불금을 지원하는 농지이양 은퇴직불이 도입되며, 농지연금과 연계해 노후생활안정자금이 추가로 지급된다."
AUG_TRAIN55,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,수해 대응을 위한 신규 시설의 예방 효과를 높이기 위해 어떤 기술이 개발되고 있는가?,"빗물저장시설(우수저류시설) 6개소와 하천 수위계 센서에 연계하여 자동으로 출입을 통제하는 시설이 전국 180개소에 구축 중이며, 이는 도심 저지대 침수피해를 예방하고 하상도로 이용자의 인명피해를 최소화하기 위한 목적으로 이루어지고 있다."
AUG_TRAIN56,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,대학의 재정 지원 확대 방안이 대학의 혁신을 어떻게 촉진시키는가?,"등록금 동결, 물가 상승 등에 대응하여 대학 일반재정지원을 확대하되, 혁신 성과에 따른 배분 비율을 높여 대학의 자율적 혁신을 유도하기 위함이다. 국립대학은 생활안전, 첨단 기자재 중심으로 투자를 확대하고, 사립대학은 경영자문 컨설팅을 지원하여 체계적 구조개선을 촉진한다."
AUG_TRAIN57,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"2024년 R&D 분야의 재정투자 감소율은 9.5%로 얼마나 큰 영향을 미쳤으며, 이에 따라 국가가 확대할 국가전략기술 분야는 어떤 기술 분야에 집중할 것인가?","2024년 R&D 분야에 대한 재정투자 규모는 2023년 대비 9.5% 감소한 26.5조원이며, AI·바이오·반도체 등의 분야에 대한 국가전략기술 투자를 확대할 계획입니다."
AUG_TRAIN58,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,삼각체제 구축사업의 핵심 인프라 구축과 자생적 생태계 조성에 있어 지역 간 협력의 역할은 어떠한가?,"우주산업 클러스터 삼각체제 구축사업은 우주경제 시대 대비 민간 주도 우주개발 역량 강화 및 자생적 생태계 조성을 위해 핵심 인프라를 구축하는 플래그십 프로젝트이며, 전남, 경남, 대전을 국가 우주산업 육성 거점으로 지정했다."
AUG_TRAIN59,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,정부의 스타트업 글로벌화 지원 프로그램이 효과적으로 운영되고 있는지 여부를 확인하기 위해 어떤 방식으로 평가하고 있는가?,"정부는 스타트업과 글로벌 기업의 협업 프로그램을 확대하고, 해외투자 유치 후 현지법인 설립 시 지원하는 글로벌 팁스를 신설하며, 국내 팁스기업도 지원을 대폭 확대하고 있다. 또한, 해외 우수 스타트업을 발굴하여 지원하는 K-스카우터 제도를 신설하고, 글로벌 스타트업 센터를 신규 조성하며, 해외 주요 클러스터와의 협업, 국내외 창업인프라와 연결 등을 통해 글로벌 창업을 체계적으로 지원하고 있다."
AUG_TRAIN60,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,한국 정부가 녹색산업 육성 및 해외진출 지원을 강화하는 전략의 효과는 어떤 것일까?,"한국 정부는 기업 성장단계별 맞춤형 지원을 지속하고 현지 수주지원단 파견, 수출지원 전용 펀드 신규 조성 등 해외진출 지원을 강화하고 있으며, 전기차는 보급형·고성능 차량 중심으로, 수소차는 상용차 중심으로 지원하고 있음."
AUG_TRAIN61,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,국제대화를 통해 북한인권에 대한 사회적 인식과 이해를 개선하는 데 어떤 역할을 하는지 설명해 주세요.,"국립북한인권센터는 인권을 주제로 한 다양한 전시·체험 콘텐츠 제작 등의 역할을 수행할 예정이며, 북한인권 국제대화를 통해서는 북한인권에 대한 여론을 환기하고 저명한 학자, 민간단체 관계자 등 다양한 이해관계자들이 북한인권을 논의할 수 있는 장을 마련하여 국제적으로도 북한인권 담론을 수행할 계획입니다."
AUG_TRAIN62,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"2024년도 공공질서 및 안전 분야의 재정 투자가 2023년도보다 얼마나 크게 증가했으며, 그 중 가장 큰 투자가 어느 범죄 유형에 집중되었는지 알려주세요?","2024년도 공공질서 및 안전 분야의 재정투자는 24.4조원으로 2023년도 22.9조원 대비 6.5% 증가하였으며, 마약·스토킹 등 민생침해범죄 예방·대응과 재난·안전 사고에 대한 근본적 예방에 집중적으로 투자하였다."
AUG_TRAIN63,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"정부 재정 지원을 통해 운영되는 햇살론의 주요 목적은 무엇이며, 이를 지원하기 위한 두 가지 주요 기금은 각각 어떤 역할을 담당하고 있나요?","햇살론은 취약계층 금융지원을 위한 정부재정 지원으로 추진됩니다. 새출발기금은 영세 소상공인·자영업자의 채무부담 경감을 위해, 청년도약계좌는 청년층 자산형성을 위해 각각 마련되고 있습니다."
AUG_TRAIN64,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,국가 재정활동의 전체적인 규모를 파악하기 위해 필요한 모든 재정자료를 포함하는 범위는 무엇입니까?,일반정부 재정규모는 중앙정부·지방정부 및 비영리공공기관의 모든 재정활동을 포함하는 것으로 각국은 국민계정 작성기준에 따라 작성하고 있다.
AUG_TRAIN65,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,장애인 연금 수급자들의 생활 수준에 미치는 영향은 무엇인가?,"장애인 연금은 기초급여가 '23년에 월 32.3만원에서 '24년에 월 33.5만원으로 증가하고, 부가급여도 월 2~7만원에서 '24년에 월 3~8만원으로 증가했다."
AUG_TRAIN66,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,노인 지원 기초연금과 노인일자리 수당 인상에 따른 노인의 삶의 질 향상 효과는 어느 정도인가?,"노인 지원 기초연금은 '23년에 15,400억원에서 '24년에 20,264억원으로 증가했으며, 노인일자리는 88.3만명에서 103.0만명으로 증가하고 수당은 2~4만원으로 6년 만에 7% 수준으로 인상되었다."
AUG_TRAIN67,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,원전산업 맞춤형 정책자금의 운영 방식과 목적에 대한 세부 정보는 무엇입니까?,"2천억원 규모의 원전산업 맞춤형 정책자금(융자 및 보증)을 신설하고, 중소 원전 기자재 업체가 발주사와 공급계약 체결시 조속히 대금을 지급받을 수 있도록 58억원 규모의 선금 보증보험 수수료 지원 사업을 신설한다."
AUG_TRAIN68,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,"신재생에너지 분야의 기술 발전과 함께, 수소와 CCUS에 대한 투자가 증가하는 이유는 무엇인가?","에너지 신산업 분야의 경우 그간 지속적인 투자로 인해 여건이 성숙된 태양광 등 신재생에너지 분야 지원은 정상화하되, 수소, CCUS 등 분야의 인프라 투자는 확대한다."
AUG_TRAIN69,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,2024년 정부 예산안에서 출산·양육 부담 경감을 위해 어떤 혜택이 부모에게 제공되고 있는가?,"영아기 양육부담 완화를 위해 부모급여 지급액을 확대하고, 다자녀 가구에 대한 혜택을 확대하는 정책이 시행되고 있다."
AUG_TRAIN70,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,2024년도 예산안에서 돌봄부담 완화를 위한 제도 개선의 주요 목표는 무엇인지 설명해 주시겠어요?,"시간제보육 제공기관을 2023년 1,030개소에서 2024년 2,315개소로 확대하여 틈새돌봄을 확대하고, 아이돌봄 지원가구를 확대하고, 다자녀 가구의 아이돌보미 서비스 이용요금을 10% 할인하여 부담을 완화한다."
AUG_TRAIN71,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,해외 기업들이 한국에 투자할 수 있는 유인을 제공하는 정부 정책을 설계하는 데에 어떤 요인이 영향을 미치는가?,글로벌 공급망 재편 과정에서 우리나라가 대안 투자처가 될 수 있도록 하기 위해서이다.
AUG_TRAIN72,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,청년농업인이 농지를 임대한 후에 어떤 형태로 지원을 제공하는지 설명해 주세요.,"농지은행이 보유한 비축농지를 저렴하게 공공임대하는 물량을 (2023년) 1,875ha→(2024년) 2,500ha로 대폭 확대하는 한편, 농지 매입단가를 (2023년) 408백만원→(2024년) 428백만원으로 인상한다."
AUG_TRAIN73,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,농업 생산성을 높이고 노동 투입량을 줄이기 위한 새로운 농업 기술의 개발을 촉진하는 정책은 어떤 효과를 거둘 수 있을까?,"스마트농업을 육성하고 농업 자동화 및 데이터 기반 스마트팜 확산을 추진하고 있으며, 임대형 스마트팜과 스마트온실을 구축하여 청년농에게 장기 임대하는 등의 방안을 추진하고 있다."
AUG_TRAIN74,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,무기체계 전력화 강화의 주요 비중을 갖는 한국의 국방 강화 전략은 어떤 군사적 위협에 대비하고 있는가?,"북 핵·미사일 위협 대비 압도적 대응능력 구축을 위해 킬체인(F-X 2차, 한국형구축함 등), 다층 미사일 방어(장거리함대공유도탄, 장거리지대공유도무기-Ⅱ 등), 압도적 대량 응징(230㎜급다련장, 특수작전용대형기동헬기 등) 등 무기체계 전력화 강화에 중점 투자한다(6.1조원→6.8조원)."
AUG_TRAIN75,2024 나라살림 예산개요,./train_source/2024 나라살림 예산개요.pdf,지역사회 내에서 정신질환자들이 장기 입원 없이 편안하게 회복할 수 있도록 지원하는 시스템의 개념은 무엇인지 설명해 주세요.,"정신질환자들이 장기 입원을 하지 않고 지역사회에서 상담, 휴식 등 서비스를 제공받으면서 자연스럽게 지역사회에 정착하고 회복할 수 있도록 추진하기 위해."
